step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
119,1,119,9.365994691848757,122,1.8622515223353984,120,1,0,1.4059640345140605,6.704433917999268,0.0,0,True,6.924358885265699e-07,2.900022082030773e-06,3.215415566424303e-07,0.0401417411782606,0.0518466000212356,0.0015850213299974,0.0469380980054847,8,0.0004620008403435,0.0464224999886937,0.0042310321316692,,,,,,,,,,QRSAC
182,2,182,13.31563138961792,188,1.7103825046348775,64,2,0,2.43971142719056,6.511189937591553,0.0,0,True,5.015892730582328e-07,1.3999524526298046e-06,2.633655343493319e-07,0.040017652380768,0.0419230000115931,0.0004774497464741,0.0413504919828847,1,8.159841407119991e-05,0.0001726999762468,2.2511742189229347e-05,,,,,,,,,,QRSAC
526,3,526,28.54391074180603,535,5.14657887151965,345,3,0,1.7189783164351062,10.511445045471191,0.0,0,True,5.200575308895908e-07,1.729995710775256e-05,1.5089560625775746e-06,0.0400307552315711,0.0443757000030018,0.000478927506421,0.0407550210237968,2,7.754563896099192e-05,0.0001460000057704,1.554634970425523e-05,,,,,,,,,,QRSAC
949,4,949,46.92133116722107,961,4.0545796733905854,424,4,0,1.062598666809071,9.190604209899902,0.0,0,True,5.659574904780721e-07,1.7400016076862812e-05,1.269808322203988e-06,0.0400256174948147,0.0408580000512301,0.000326716157074,0.0407467079733032,0,7.714822956627284e-05,0.0001616000081412,1.5201044588510033e-05,,,,,,,,,,QRSAC
1102,5,1102,54.466147899627686,1117,3.809417195577823,154,5,0,2.8017403514730344,9.846610069274902,0.0,0,True,7.320271524923299e-07,1.8200022168457508e-05,2.2235430831939605e-06,0.0400522516335032,0.0411262999987229,0.000333294503287,0.0409801840013824,2,7.822287795468677e-05,0.0001435999874956,1.570280726408318e-05,,,,,,,,,,QRSAC
1324,6,1324,64.8003978729248,1342,3.426653704014484,223,6,0,1.394842961600396,5.434768199920654,0.0,0,True,6.693681735578958e-07,1.9199971575289965e-05,1.9631645330681515e-06,0.0400449887381107,0.042047899973113,0.0003870904642065,0.0407597800140501,2,7.773693708644189e-05,0.0001350999809801,1.3954355399180848e-05,,,,,,,,,,QRSAC
1571,7,1571,76.12399744987488,1592,0.4240871645063948,248,7,0,0.14280271294381,0.9644119739532472,0.0,0,True,5.267218305816052e-07,1.7300015315413475e-05,1.2485523169629937e-06,0.040031025505734,0.0409928999724797,0.0003518276335391,0.0408133480232209,0,7.662955607449719e-05,0.0001411000266671,1.3420293031119864e-05,,,,,,,,,,QRSAC
1768,8,1768,85.44816708564758,1792,2.500516132563403,198,8,0,1.1348480924212396,4.592075347900391,0.0,0,True,5.21317561662893e-07,1.7300015315413475e-05,1.2059724913754838e-06,0.040006167514174,0.0411566999973729,0.0003416066762793,0.0407029160181991,1,7.50802041901285e-05,0.0001423999783582,1.3621698283057713e-05,,,,,,,,,,QRSAC
1924,9,1924,94.18367052078248,1951,7.794253794876821,157,9,0,4.309091667071362,15.094612121582031,0.0,0,True,7.474344993869846e-07,1.939997309818864e-05,1.943441398810898e-06,0.0467291064094005,1.0327678000321612,0.079302498673699,0.0631345199886703,2,7.498077078101535e-05,0.0001441999920643,1.4674228323228915e-05,,,,,,,,,,QRSAC
2206,10,2206,111.1948025226593,2236,6.4982260837099695,283,10,108,2.0683100118818247,11.757816314697266,0.0,0,True,0.0179477503557494,2.236033499997575,0.1324822515197008,0.0552165631204017,5.036834200029261,0.2972658122862339,0.0409834279789356,3,0.0131931095718445,2.79816209996352,0.166152399411551,-4.485428810119629,1.6236188411712646,0.8055383563041687,0.8180804252624512,0.9411119222640992,0.8877601623535156,,2.05696439743042,2.54903244972229,QRSAC
2355,11,2355,118.67431783676147,2388,4.646354459932711,150,11,0,3.278958840514436,6.399026870727539,0.0,0,True,0.0139809208019674,0.0237843999639153,0.0028698009371474,0.0400332395978046,0.0415484000113792,0.000370706696525,0.0411148359952494,2,0.0052938496665841,0.0057337000034749,0.0002466569131011,-5.219047546386719,1.2453291416168213,0.6090538501739502,0.6362752318382263,0.9015666842460632,0.8897032737731934,,2.0134403705596924,3.40327787399292,QRSAC
2444,12,2444,123.6765594482422,2480,4.745837012546121,90,12,0,5.635917332146265,11.990041732788086,0.0,0,True,0.0138221033691857,0.0250879999948665,0.0028575565384875,0.0400611820220005,0.0407909999485127,0.0003296511536868,0.0407667999691329,0,0.0053079831459706,0.0057613999815657,0.0002338038123765,-5.681187629699707,1.383769154548645,0.7123092412948608,0.6714599132537842,0.8790581226348877,0.8286367058753967,,2.057624578475952,3.87190580368042,QRSAC
2778,13,2778,138.50059008598328,2817,3.49727996136202,335,13,0,1.160430693853935,5.985437870025635,0.0,0,True,0.0136945497008977,0.0263812000048346,0.0025399117393999,0.0400545074854361,0.0412601999705657,0.0003181354062501,0.0407844590116292,2,0.0052765074866045,0.0063783999648876,0.000253925043855,-7.570866584777832,1.0862505435943604,0.545367956161499,0.5408825874328613,0.8012938499450684,0.775522768497467,,2.032426357269287,5.941851615905762,QRSAC
3024,14,3024,149.78809332847595,3066,1.9482552766023136,247,14,0,0.722614433374732,4.328785419464111,0.0,0,True,0.0140471873995166,0.0227131000137887,0.0023189104732368,0.0400397548775237,0.0416151999961584,0.0003985041064668,0.0412943999806884,4,0.0052957906502741,0.0057835999759845,0.0002518914855505,-8.923267364501953,1.692756175994873,0.8578912019729614,0.8348649144172668,0.7500410676002502,0.6887416839599609,,2.0819716453552246,7.361289024353027,QRSAC
3380,15,3380,165.48692440986633,3425,7.203615806933342,357,15,0,1.9663250005357824,8.187302589416504,0.0,0,True,0.0137341488759344,0.0241208000225015,0.0020335178664452,0.0400375637639146,0.0409073999617248,0.0003385444963856,0.0407040949852671,0,0.0052759738760317,0.0057967000175267,0.0002691625007611,-10.854718208312988,1.9894919395446775,0.9772508144378662,1.0122411251068115,0.6836540699005127,0.6581718921661377,,2.0375208854675293,9.461400985717772,QRSAC
