step,episode,buffer_size,total_time,total_steps,ep_reward,ep_steps,ep_count,packages_lost,speed_mean,speed_max,BestLap,ep_bestLapTime,terminated,update_model_perf_mean,update_model_perf_max,update_model_perf_std,step_perf_mean,step_perf_max,step_perf_std,step_perf_q99,step_perf_> thres,action_perf_mean,action_perf_max,action_perf_std,actor_loss,critic_loss,critic1_quantile_loss,critic2_quantile_loss,alpha,alpha_loss,entropy,entropy_mean,q_pi_mean,algo
355,1,355,16.62203049659729,358,4.91623592437611,356,1,0,1.4137548621623497,7.611108303070068,0.0,0.0,True,4.123945549969942e-07,1.5199999324977398e-05,7.960915111671841e-07,0.0400541535211386,0.0486077000387012,0.0006788101993668,0.0410996599774807,5,0.0002059453491672,0.047352600027807,0.0025058736580915,,,,,,,,,,QRSAC
438,2,438,21.362993001937863,444,3.4552256168692126,84,2,0,3.7618203653690303,6.053314685821533,0.0,0.0,True,5.50605199602713e-07,1.7400016076862812e-05,1.8727210400558904e-06,0.0400506313245025,0.0412915999768301,0.0003153756346419,0.041022968031466,1,7.627951402037618e-05,0.000124100013636,1.725488163261772e-05,,,,,,,,,,QRSAC
529,3,529,26.44974994659424,538,3.1581001088288096,92,3,0,3.1270911915267474,7.3228888511657715,0.0,0.0,True,3.362599002954724e-07,8.00006091594696e-07,1.1243733473944065e-07,0.0400543999998922,0.041405199910514,0.0002990265665187,0.0409411599393934,1,7.192856519595607e-05,0.0001081000082194,1.34222028553583e-05,,,,,,,,,,QRSAC
696,4,696,34.60059094429016,708,1.885938397286504,168,4,0,1.0516805599508232,4.603415966033936,0.0,0.0,True,4.473074010300065e-07,1.7300015315413475e-05,1.3123019444808009e-06,0.0400390119757503,0.0414503999054431,0.000259624738639,0.0409108600160107,2,7.21377273184989e-05,0.0001158999511972,1.57029951861123e-05,,,,,,,,,,QRSAC
859,5,859,42.55095863342285,874,1.785612415910368,164,5,0,0.9767850585832516,6.592611789703369,0.0,0.0,True,4.257686847558051e-07,8.800067007541656e-06,6.703761577435842e-07,0.0400579288356189,0.0411221999675035,0.0002723664491209,0.0408749699755571,1,7.36613442229987e-05,0.0001316999550908,1.789930414997334e-05,,,,,,,,,,QRSAC
999,6,999,49.60006141662598,1017,4.89503508270555,141,6,0,3.823152447780074,14.875439643859863,0.0,0.0,True,3.971433865704707e-07,1.600012183189392e-06,1.8045474100604085e-07,0.0400717007137635,0.0412197000114247,0.0002331279304657,0.0408944900275673,2,7.009071331205112e-05,0.0001107000280171,1.4183982559150656e-05,,,,,,,,,,QRSAC
1459,7,1459,69.47620892524719,1480,3.682841094051733,461,7,0,0.9303921807850972,4.410181045532227,0.0,0.0,True,3.730425226461629e-07,1.95999164134264e-05,9.081066679433656e-07,0.0400519591315811,0.0410811000037938,0.0002240349544398,0.0406958160013891,2,6.911369577131193e-05,0.000150200095959,1.6091539227185343e-05,,,,,,,,,,QRSAC
1752,8,1752,82.64051151275635,1776,3.619976746544857,294,8,0,1.5122297564334335,4.215531349182129,0.0,0.0,True,3.4232263106840053e-07,1.700012944638729e-06,1.4280625523055232e-07,0.0400394692825496,0.0413719000061973,0.000204088937622,0.0405282999761402,1,7.057065341252923e-05,0.0001934999600052,1.7491050582988453e-05,,,,,,,,,,QRSAC
1938,9,1938,91.530739068985,1965,1.84943800016842,187,9,0,0.9013549175651472,5.51652717590332,0.0,0.0,True,4.887096433629912e-07,1.24999787658453e-05,8.978642841891979e-07,0.0400590725807643,0.0413717000046744,0.0002489233152138,0.0408349400444421,2,7.313010483098928e-05,0.0001275000395253,1.7259257892943388e-05,,,,,,,,,,QRSAC
2572,10,2572,120.36321473121644,2602,3.840770532242302,635,10,52,0.6029719344971611,5.507117748260498,0.0,0.0,True,0.0122307299668254,1.1467447999166325,0.0452532970182467,0.0432468708193264,2.7907029000343755,0.1093126146089253,0.0406968179845716,3,0.0079517832816554,1.6417249999940395,0.0649702791835474,-6.370173454284668,5.303793907165527,2.6629652976989746,2.6408286094665527,0.8480405807495117,0.8125604391098022,,2.0421032905578613,4.637907028198242,QRSAC
2886,11,2886,134.41093349456787,2919,3.859569642379208,315,11,0,1.3955307795653222,7.758481025695801,0.0,0.0,True,0.0116001936357919,0.0206407000077888,0.0014590017914749,0.0400383732478863,0.0411004999186843,0.0003444256913788,0.04071603103308,2,0.0065053898057378,0.0086382000008597,0.0003432916888083,-8.116415023803711,5.760440349578857,2.859549045562744,2.9008913040161133,0.7783147692680359,0.7680865526199341,,2.0134081840515137,6.548926830291748,QRSAC
3057,12,3057,142.6858892440796,3093,3.0196127406289905,172,12,0,1.974714438452624,6.969544410705566,0.0,0.0,True,0.0117216619863093,0.0191473000450059,0.0016375403760259,0.0400343292388705,0.0411349999485537,0.0001893852412627,0.0405913900118321,1,0.0064471912337467,0.0086712000193074,0.00063334748294,-9.0599365234375,2.5070858001708984,1.2538344860076904,1.253251314163208,0.7436550855636597,0.685714840888977,,2.0781564712524414,7.514096260070801,QRSAC
3404,13,3404,157.98550820350647,3443,5.549964112216365,348,13,0,1.7192144984108109,7.496810436248779,0.0,0.0,True,0.011676934869458,0.0228297000285238,0.0017528775460825,0.0400213812694613,0.0412302000913769,0.0001841891003017,0.0406203599786385,1,0.006376534870152,0.00876190001145,0.0004273076841796,-10.583789825439451,4.12131929397583,2.0728909969329834,2.0484282970428467,0.6794911623001099,0.6792449951171875,,2.0006206035614014,9.224035263061523,QRSAC
3691,14,3691,170.85887479782104,3733,5.131431745563197,288,14,0,1.744406991897045,7.295053482055664,0.0,0.0,True,0.0115575473909736,0.0212316000834107,0.0016377660949771,0.0400151376314753,0.0410439000697806,0.0001780779776753,0.0404972599493339,1,0.0063138477320098,0.0080558999907225,0.0004115525405613,-11.98575210571289,3.050623178482056,1.5382683277130127,1.512354850769043,0.6317037343978882,0.6093549132347107,,2.035621404647827,10.699518203735352,QRSAC
3837,15,3837,178.14389729499817,3882,3.148295348033555,147,15,0,1.9534010589467263,5.226609706878662,0.0,0.0,True,0.0113699787714174,0.020611000014469,0.001175656132466,0.040032221234008,0.0410710999276489,0.0002492445415972,0.040920565003762,1,0.0064335520569018,0.0080719999969005,0.0004380403968224,-12.658316612243652,3.7693047523498535,1.9060641527175903,1.8632405996322632,0.6090797781944275,0.5818502902984619,,2.0449435710906982,11.412473678588867,QRSAC
4133,16,4133,191.42958450317383,4181,3.5876063160598064,297,16,0,1.067741141265961,5.670040130615234,0.0,0.0,True,0.0115617780353892,0.0201400000369176,0.0015651784524913,0.0400134702700794,0.0415006000548601,0.0001932448755884,0.040538000036031,1,0.0063701327717107,0.0080025000497698,0.000336872247963,-13.613823890686035,5.435486793518066,2.668828010559082,2.7666585445404053,0.5661343336105347,0.5468183159828186,,2.0343542098999023,12.46182632446289,QRSAC
4539,17,4539,209.12823724746704,4590,3.0946951468963557,407,17,0,0.6596440792637785,6.549216270446777,0.0,0.0,True,0.0116497362069808,0.020838199998252,0.0016800896616006,0.0400293748771308,0.0413082999875769,0.0002031660769984,0.0405652050336357,2,0.0064078258637802,0.0079901000717654,0.0003224569102659,-14.978954315185549,11.781338691711426,5.860544204711914,5.920794486999512,0.5129733085632324,0.4963186681270599,,2.032699584960937,13.935982704162598,QRSAC
4655,18,4655,215.20515751838684,4709,3.205804744237289,117,18,0,2.4344294613804847,8.709390640258789,0.0,0.0,True,0.0117749250052368,0.0200251000933349,0.0019118216563853,0.0400385500006136,0.0412303999764844,0.0002131228283546,0.040866054984508,1,0.0067047362049222,0.0075844000093638,0.0002118268632952,-15.375389099121094,10.931626319885254,5.469483375549316,5.4621429443359375,0.4988755881786346,0.4852559864521026,,2.027534246444702,14.363658905029297,QRSAC
4732,19,4732,219.72784280776975,4789,3.4693174274991585,78,19,0,3.873926276609172,7.860679149627685,0.0,0.0,True,0.0118876870119847,0.0202242999803274,0.0018136547334174,0.0400436025977666,0.0410624999785795,0.0002620119643282,0.0406982320360839,1,0.0067464948039163,0.0083132000872865,0.0005366578788209,-15.890612602233888,4.261002063751221,2.149522304534912,2.1114797592163086,0.4897515773773193,0.4510504007339477,,2.079240322113037,14.872060775756836,QRSAC
4846,20,4846,225.73367619514465,4906,2.5260581489799243,115,20,0,1.927179411590813,5.65559196472168,0.0,0.0,True,0.0115413719261261,0.0213339000474661,0.0015334179543543,0.0400471087726927,0.0409019999206066,0.0002157131813102,0.040767961043166,0,0.0065352614047904,0.0078591000055894,0.0003590257438258,-16.17618179321289,5.553098678588867,2.8053715229034424,2.747727155685425,0.4766648411750793,0.4613342881202698,,2.0323915481567383,15.207180976867676,QRSAC
5114,21,5114,237.90912199020383,5177,1.5142853952691178,269,21,0,0.5018105773733116,3.6403653621673584,0.0,0.0,True,0.0116140186585096,0.0218737999675795,0.0017048830440428,0.0400335888079464,0.0412526000291109,0.000209821731227,0.0406021730450447,1,0.0063786179060985,0.0070281999651342,0.0002561218836713,-16.682863235473633,8.335395812988281,4.215579032897949,4.119816780090332,0.4472757875919342,0.4128058552742004,,2.0772829055786133,15.753528594970703,QRSAC
5749,22,5749,264.76974987983704,5815,4.636698230688282,636,22,0,0.6756522769107316,5.416408538818359,0.0,0.0,True,0.0114521985875413,0.0210956000955775,0.0011817890267925,0.0400184003148579,0.0410881999414414,0.0001902648292937,0.0406753879832103,1,0.006477616536871,0.0085186000214889,0.0002855198760648,-18.20978546142578,8.689146041870117,4.344803333282471,4.344343185424805,0.3851284682750702,0.3799997568130493,,2.013550281524658,17.434125900268555,QRSAC
6354,23,6354,290.4293146133423,6423,8.570534149671634,606,23,0,1.4033594318682276,7.217244148254394,0.0,0.0,True,0.0115162185135428,0.0199495999841019,0.0014202939833136,0.0400170072720747,0.0407827999442815,0.0001776206805827,0.040490324050188,0,0.0064922318993952,0.0081783999921754,0.0003246808019217,-19.580642700195312,7.784554481506348,3.878655910491944,3.905898809432984,0.3340845108032226,0.3284046947956085,,2.0172290802001958,18.90655899047852,QRSAC
6817,24,6817,310.38124108314514,6889,3.5819370408567623,464,24,0,0.7396886957899526,6.697981357574463,0.0,0.0,True,0.0115414092902568,0.0201005999697372,0.0013950048644681,0.0400222546429037,0.0409030000446364,0.0001894250840525,0.0406178699526935,0,0.0063407825090827,0.0072924999985843,0.0002571067965245,-20.30109214782715,5.784631252288818,2.9055047035217285,2.87912654876709,0.2993715405464172,0.3175723552703857,,1.9394593238830569,19.7203311920166,QRSAC
7216,25,7216,327.7578818798065,7291,2.3286644806697745,400,25,0,0.548589767672238,6.1351470947265625,0.0,0.0,True,0.0114598390987647,0.0211297000059857,0.0011627270087161,0.0400330005003545,0.0409896000055596,0.000185610479233,0.0406394059956073,0,0.006391912786276,0.0080982000799849,0.0003040147753279,-20.65328598022461,8.652727127075195,4.375655651092529,4.277070999145508,0.2719798982143402,0.2946048378944397,,1.9170787334442136,20.13175201416016,QRSAC
7281,26,7281,331.8372595310211,7359,2.4256749668288182,66,26,0,3.4707692651356794,9.18596363067627,0.0,0.0,True,0.0119968015414017,0.0209453999996185,0.0021064089844746,0.0400973861517671,0.0410612999694421,0.0002692329105153,0.0408499719994142,1,0.0067708061434901,0.0091100001009181,0.0007298672244996,-20.74912452697754,5.942630290985107,2.9380478858947754,3.004582405090332,0.267751932144165,0.2859238982200622,,1.932389259338379,20.231599807739254,QRSAC
7670,27,7670,348.8168008327484,7751,2.2833505806019576,390,27,0,0.5730699231501487,7.086921691894531,0.0,0.0,True,0.0115406089938176,0.0201867000432685,0.0015020897855227,0.040021676092545,0.041324199992232,0.0001944463117522,0.0405672119325026,1,0.0063704748061583,0.0075346999801695,0.0002676317951167,-20.969655990600582,7.9010419845581055,3.975794792175293,3.925247192382813,0.2437733858823776,0.2909584045410156,,1.806726336479187,20.52911758422852,QRSAC
8295,28,8295,375.2833704948425,8379,2.6560736859716547,626,28,0,0.3852969502664802,4.062436580657959,0.0,0.0,True,0.0114996264010667,0.0202355000656098,0.0014347951238594,0.0400274660808965,0.0410262999357655,0.0001880697754965,0.0405191240319982,2,0.0064715588817372,0.0079875999363139,0.0003373059393288,-21.619354248046875,12.059114456176758,5.961235046386719,6.097878932952881,0.2096028923988342,0.2507688999176025,,1.803888201713562,21.241161346435547,QRSAC
8659,29,8659,391.2821111679077,8746,3.1565571675845367,365,29,0,0.8239873778651874,4.890052795410156,0.0,0.0,True,0.0118052634621003,0.0218858000589534,0.002063675070523,0.0400229428596103,0.0409049000591039,0.0001892447554055,0.0405467870144639,0,0.0064638346157952,0.0082173000555485,0.0003981788955347,-21.393857955932617,8.96060562133789,4.516271114349365,4.444334030151367,0.1918167918920517,0.2234002351760864,,1.8356304168701167,21.041667938232425,QRSAC
8982,30,8982,405.6498620510101,9072,0.6672184898995009,324,30,0,0.1723918405995739,1.616177678108215,0.0,0.0,True,0.0116460860689565,0.02075030002743,0.0017231431519754,0.0400174947364699,0.0408333999803289,0.0001775835130975,0.0405031679873354,0,0.0064665699696987,0.0089647000422701,0.0003696355095298,-21.596664428710938,7.563565254211426,3.811330556869507,3.75223445892334,0.1773343980312347,0.2312087714672088,,1.6965181827545166,21.295738220214844,QRSAC
9360,31,9360,422.22084856033325,9453,2.855664134121758,379,31,0,0.6693251727671147,5.283254146575928,0.0,0.0,True,0.0118472724857311,0.0209176000207662,0.0021000129744625,0.0400277550271268,0.041252400027588,0.0002250917583894,0.0408079599577467,3,0.0065109410040479,0.0084332999540492,0.0003133058067162,-21.594980239868164,8.44920539855957,4.23624324798584,4.212961673736572,0.1617883294820785,0.2114533632993698,,1.6933469772338867,21.32094955444336,QRSAC
9646,32,9646,435.1051580905914,9742,0.3550109222914489,287,32,0,0.1036351056480885,2.027114152908325,0.0,0.0,True,0.0113096916111889,0.0195430000312626,0.0009024054759957,0.0400230129362552,0.0408735999371856,0.0001647304758163,0.0404160700563807,0,0.0062996779765503,0.0090739999432116,0.0003144621531108,-21.667858123779297,10.855268478393556,5.4774169921875,5.377851486206055,0.1508839130401611,0.1960119307041168,,1.7012264728546145,21.411108016967773,QRSAC
10366,33,10366,465.36307644844055,10465,2.072427652861846,721,33,0,0.2456726185469171,2.991383552551269,0.0,0.0,True,0.0115352856928236,0.0206861000042408,0.0016336235782422,0.040004275555192,0.0414506999077275,0.0001838894373515,0.0404292920464649,1,0.0064258709722909,0.0081959000090137,0.0002846328416813,-21.367107391357425,18.81405067443848,9.174713134765623,9.639337539672852,0.1267968416213989,0.1902526766061782,,1.4999306201934814,21.17687225341797,QRSAC
10839,34,10839,485.7258524894714,10941,0.7328367139987267,474,34,0,0.1318574872508056,1.0479110479354858,0.0,0.0,True,0.0114893441900205,0.020065699936822,0.0013289761747624,0.040030680338155,0.0408689999021589,0.000176091329401,0.0404906879691407,0,0.0064081739965062,0.0079378999071195,0.0002686551502904,-21.559268951416016,14.08981227874756,6.9775495529174805,7.112262725830078,0.113164409995079,0.1584376990795135,,1.6002792119979858,21.378129959106445,QRSAC
